,code,name1,name2,type,name3
12781,015910,XYYFZ,鑫元裕丰债,债券型-长债,XINYUANYUFENGZHAI
12782,015911,XYZYHHA,兴业致远混合A,混合型-偏股,XINGYEZHIYUANHUNHEA
12783,015912,XYZYHHC,兴业致远混合C,混合型-偏股,XINGYEZHIYUANHUNHEC
12784,015913,HXDAYNDKZQFQS,华夏鼎安一年定开债券发起式,债券型-长债,HUAXIADINGANYINIANDINGKAIZHAIQUANFAQISHI
12785,015914,SWLXYLMB2040SNCYHHFQFOF,申万菱信养老目标2040三年持有混合发起(FOF),FOF-均衡型,SHENWANLINGXINYANGLAOMUBIAO2040SANNIANCHIYOUHUNHEFAQIFOF
12786,015915,YYYYCXZXHHFQA,永赢医药创新智选混合发起A,混合型-偏股,YONGYINGYIYAOCHUANGXINZHIXUANHUNHEFAQIA
12787,015916,YYYYCXZXHHFQC,永赢医药创新智选混合发起C,混合型-偏股,YONGYINGYIYAOCHUANGXINZHIXUANHUNHEFAQIC
12788,015917,XY30TGDCYZDZA,兴业30天滚动持有中短债A,债券型-中短债,XINGYE30TIANGUNDONGCHIYOUZHONGDUANZHAIA
12789,015918,XY30TGDCYZDZC,兴业30天滚动持有中短债C,债券型-中短债,XINGYE30TIANGUNDONGCHIYOUZHONGDUANZHAIC
12790,015919,SWLXZJTXZTHHFQA,申万菱信专精特新主题混合发起A,混合型-偏股,SHENWANLINGXINZHUANJINGTEXINZHUTIHUNHEFAQIA
12791,015920,SWLXZJTXZTHHFQC,申万菱信专精特新主题混合发起C,混合型-偏股,SHENWANLINGXINZHUANJINGTEXINZHUTIHUNHEFAQIC
12792,015921,SWLXGZ2000ZSZQXFQSA,申万菱信国证2000指数增强型发起式A,指数型-股票,SHENWANLINGXINGUOZHENG2000ZHISHUZENGQIANGXINGFAQISHIA
12793,015922,SWLXGZ2000ZSZQXFQSC,申万菱信国证2000指数增强型发起式C,指数型-股票,SHENWANLINGXINGUOZHENG2000ZHISHUZENGQIANGXINGFAQISHIC
12794,015923,SWLXWX90TGDCYZDZZQA,申万菱信稳鑫90天滚动持有中短债债券A,债券型-中短债,SHENWANLINGXINWENXIN90TIANGUNDONGCHIYOUZHONGDUANZHAIZHAIQUANA
12795,015924,SWLXWX90TGDCYZDZZQC,申万菱信稳鑫90天滚动持有中短债债券C,债券型-中短债,SHENWANLINGXINWENXIN90TIANGUNDONGCHIYOUZHONGDUANZHAIZHAIQUANC
12796,015925,WJXRCZZQA,万家鑫融纯债债券A,债券型-长债,WANJIAXINRONGCHUNZHAIZHAIQUANA
12797,015926,WJXRCZZQC,万家鑫融纯债债券C,债券型-长债,WANJIAXINRONGCHUNZHAIZHAIQUANC
12798,015927,XBLDLSNYHHA,西部利得绿色能源混合A,混合型-偏股,XIBULIDELVSENENGYUANHUNHEA
12799,015928,XBLDLSNYHHC,西部利得绿色能源混合C,混合型-偏股,XIBULIDELVSENENGYUANHUNHEC
12800,015929,FCFYZQA,蜂巢丰裕债券A,债券型-长债,FENGCHAOFENGYUZHAIQUANA
12801,015930,FCFYZQC,蜂巢丰裕债券C,债券型-长债,FENGCHAOFENGYUZHAIQUANC
12802,015931,JYHRZQFQSA,金鹰恒润债券发起式A,债券型-混合二级,JINYINGHENGRUNZHAIQUANFAQISHIA
12803,015932,JYHRZQFQSC,金鹰恒润债券发起式C,债券型-混合二级,JINYINGHENGRUNZHAIQUANFAQISHIC
12804,015933,ZTAY6GYDKZA,中泰安悦6个月定开债A,债券型-长债,ZHONGTAIANYUE6GEYUEDINGKAIZHAIA
12805,015934,ZTAY6GYDKZC,中泰安悦6个月定开债C,债券型-长债,ZHONGTAIANYUE6GEYUEDINGKAIZHAIC
12806,015935,GFJHCZC,广发景华纯债C,债券型-长债,GUANGFAJINGHUACHUNZHAIC
12807,015936,ZXBCHYHHC,中信保诚弘远混合C,混合型-偏股,ZHONGXINBAOCHENGHONGYUANHUNHEC
12808,015937,ZXBCDLHHLOFC,中信保诚鼎利混合(LOF)C,混合型-灵活,ZHONGXINBAOCHENGDINGLIHUNHELOFC
12809,015938,PAYF6GYCYZQFOFA,平安盈福6个月持有债券(FOF)A,FOF-稳健型,PINGANYINGFU6GEYUECHIYOUZHAIQUANFOFA
12810,015939,PAYF6GYCYZQFOFC,平安盈福6个月持有债券(FOF)C,FOF-稳健型,PINGANYINGFU6GEYUECHIYOUZHAIQUANFOFC
12811,015940,HXJXYNCYHHFOFA,华夏聚信一年持有混合(FOF)A,FOF-稳健型,HUAXIAJUXINYINIANCHIYOUHUNHEFOFA
12812,015941,HXJXYNCYHHFOFC,华夏聚信一年持有混合(FOF)C,FOF-稳健型,HUAXIAJUXINYINIANCHIYOUHUNHEFOFC
12813,015942,SYHXL30TGDCYZDZFQA,上银慧享利30天滚动持有中短债发起A,债券型-中短债,SHANGYINHUIXIANGLI30TIANGUNDONGCHIYOUZHONGDUANZHAIFAQIA
12814,015943,SYHXL30TGDCYZDZFQC,上银慧享利30天滚动持有中短债发起C,债券型-中短债,SHANGYINHUIXIANGLI30TIANGUNDONGCHIYOUZHONGDUANZHAIFAQIC
12815,015944,ZYZZTYCDAAAZS7TCYQ,中银中证同业存单AAA指数7天持有期,指数型-固收,ZHONGYINZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOUQI
12816,015945,YFDGFJGHHC,易方达国防军工混合C,混合型-偏股,YIFANGDAGUOFANGJUNGONGHUNHEC
12817,015946,XYGQGGHHC,兴业国企改革混合C,混合型-灵活,XINGYEGUOQIGAIGEHUNHEC
12818,015947,XYYJJXHHC,兴业研究精选混合C,混合型-偏股,XINGYEYANJIUJINGXUANHUNHEC
12819,015948,NFGYZQA,南方光元债券A,债券型-长债,NANFANGGUANGYUANZHAIQUANA
12820,015949,SYJHYYNDKZFQ,上银聚恒益一年定开债发起,债券型-长债,SHANGYINJUHENGYIYINIANDINGKAIZHAIFAQI
12821,015950,HXLCHHLOFC,华夏蓝筹混合(LOF)C,混合型-灵活,HUAXIALANCHOUHUNHELOFC
12822,015953,XAXXZQA,信澳鑫享债券A,债券型-混合二级,XINAOXINXIANGZHAIQUANA
12823,015954,XAXXZQC,信澳鑫享债券C,债券型-混合二级,XINAOXINXIANGZHAIQUANC
12824,015955,WJZZTYCDAAAZS7TCY,万家中证同业存单AAA指数7天持有,指数型-固收,WANJIAZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOU
12825,015956,GLAZZTYCDAAAZS7TCYQ,国联安中证同业存单AAA指数7天持有期,指数型-固收,GUOLIANANZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOUQI
12826,015957,CTZGSAZQA,财通资管双安债券A,债券型-混合二级,CAITONGZIGUANSHUANGANZHAIQUANA
12827,015958,CTZGSAZQC,财通资管双安债券C,债券型-混合二级,CAITONGZIGUANSHUANGANZHAIQUANC
12828,015959,TPJHSGYDKZFQ,太平嘉和三个月定开债发起,债券型-混合二级,TAIPINGJIAHESANGEYUEDINGKAIZHAIFAQI
12829,015960,CJHXZZTYCDAAAZS7TCY,创金合信中证同业存单AAA指数7天持有,指数型-固收,CHUANGJINHEXINZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOU
12830,015961,TPHX6GYDKZ,太平恒信6个月定开债,债券型-长债,TAIPINGHENGXIN6GEYUEDINGKAIZHAI
12831,015962,GLTAWJYLMBYNCYHHFOFA,国联添安稳健养老目标一年持有混合(FOF)A,FOF-稳健型,GUOLIANTIANANWENJIANYANGLAOMUBIAOYINIANCHIYOUHUNHEFOFA
12832,015963,HAPZYXHHA,汇安品质优选混合A,混合型-偏股,HUIANPINZHIYOUXUANHUNHEA
12833,015964,HAPZYXHHC,汇安品质优选混合C,混合型-偏股,HUIANPINZHIYOUXUANHUNHEC
12834,015965,CCAXHBHHC,长城安心回报混合C,混合型-灵活,CHANGCHENGANXINHUIBAOHUNHEC
12835,015966,CHZZ13NZJZZS,淳厚中债1-3年政金债指数,指数型-固收,CHUNHOUZHONGZHAI13NIANZHENGJINZHAIZHISHU
12836,015967,YYBDTCYZXHHFQA,永赢半导体产业智选混合发起A,混合型-偏股,YONGYINGBANDAOTICHANYEZHIXUANHUNHEFAQIA
12837,015968,YYBDTCYZXHHFQC,永赢半导体产业智选混合发起C,混合型-偏股,YONGYINGBANDAOTICHANYEZHIXUANHUNHEFAQIC
12838,015969,BSFZYNDKZFQS,博时富尊一年定开债发起式,债券型-混合一级,BOSHIFUZUNYINIANDINGKAIZHAIFAQISHI
12839,015970,HTBRJQQDHHA,华泰柏瑞景气驱动混合A,混合型-偏股,HUATAIBAIRUIJINGQIQUDONGHUNHEA
12840,015971,HTBRJQQDHHC,华泰柏瑞景气驱动混合C,混合型-偏股,HUATAIBAIRUIJINGQIQUDONGHUNHEC
12841,015972,ZHHXBHBB,中航航行宝货币B,货币型-普通货币,ZHONGHANGHANGXINGBAOHUOBIB
12842,015973,GYHJYNCYHHA,工银恒嘉一年持有混合A,混合型-偏股,GONGYINHENGJIAYINIANCHIYOUHUNHEA
